scheme,dt,step,t,E_u,E_omega,E_m,E_H,energy,energy_normalized,dissipation,numerical_dissipation,balance_residual,balance_residual_scaled,cumulative_balance_scaled,full_relative_residual,monolithic_difference,energy_increment,wall_s,D_viscous,D_angular_gradient,D_angular_div,D_spin_coupling,D_m_curl,D_m_div,D_m_relaxation,D_H_relaxation,D_H_diffusion
first,0.0625,0,0.0,5.297793235033636e-05,9.32292233122049e-05,0.03553411365381639,0.006378326932483849,0.04205864774196278,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
first,0.0625,1,0.0625,5.85523345687567e-07,4.251514551683832e-06,0.006356747423931641,0.00023264527059459894,0.006594229732423611,0.15678653704894113,0.25795321317224884,0.019342342186273107,-5.134781488891349e-16,-1.2208622398880104e-14,-1.2043641015111453e-14,1.2213941683674534e-14,0.0,-0.03546441800953917,1.4788630967959762,8.426405433996618e-05,0.00030323188353416944,0.00014828803329915293,9.391164919667902e-05,0.08443261176225753,0.12798007410914208,0.012713494847863282,0.001395871623567595,0.03080146520904838
first,0.0625,2,0.125,8.636670930061283e-09,2.2268559486129706e-07,0.001958262297234907,9.193804097379574e-06,0.0019676874235980777,0.0467843720432998,0.04815807297477295,0.0016166627479019982,-2.255140518769849e-16,-3.419869507550514e-14,-1.7488026679476905e-14,2.3593203698550265e-13,0.0,-0.004626542308825534,1.3933848678134382,1.224716009700665e-06,1.5163541566524482e-05,7.447169565992267e-06,1.9813060300129592e-06,0.0044582886998204875,0.0384940378913958,0.003916524594469814,5.516282458427751e-05,0.0012082422313303453
first,0.0625,3,0.1875,2.0268874318910037e-10,1.1813195619052667e-08,0.000680133271212405,4.3285166147681714e-07,0.0006805781387582441,0.016181645756509124,0.015030359303416375,0.00034771182837625605,-5.399326818977812e-17,-2.743996202966374e-14,-1.8807877749626105e-14,8.154346013395997e-14,0.0,-0.0012871092848398336,1.4332162290811539,2.895963120939559e-08,7.947785979579087e-07,3.9650242233522746e-07,7.588713747684199e-08,0.0002526966617435305,0.013356674220613669,0.00136026654242481,2.5971099688609063e-06,5.682864087652512e-05
first,0.0625,4,0.25,7.507600414798429e-12,6.278291933451378e-10,0.00024105766397022475,3.009431325482777e-08,0.00024108839362027335,0.005732195554631075,0.005235271630438917,0.00011228526823551914,-1.929879867024198e-17,-2.8356477487586953e-14,-1.9137840517163406e-14,3.313545937923817e-14,0.0,-0.00043948974513797074,1.3712848029099405,1.0829197499353808e-09,4.203167079141685e-08,2.1150912323191225e-08,3.753568636409194e-09,1.4750846199955128e-05,0.004734191821129369,0.0004821153279404495,1.8056587952896645e-07,3.965050218113866e-06
first,0.0625,5,0.3125,3.4993954400790855e-13,3.3388152535789304e-11,8.57249439328728e-05,3.817588909390268e-09,8.572879525987429e-05,0.0020383155394304536,0.0018564627289798545,3.9330677799149256e-05,-8.890457814381136e-18,-3.6876341000405297e-14,-1.9467803284700705e-14,9.16996313005603e-13,0.0,-0.00015535959836039906,1.3824616950005293,5.0731050885031816e-11,2.2301497275741316e-09,1.1265055366294297e-09,1.9743895695579671e-10,8.729030529730152e-07,0.001683605995168006,0.0001714498878657456,2.290553345634163e-08,5.074325344016597e-07
first,0.0625,6,0.375,1.7707847731174928e-14,1.7767202160936606e-12,3.050295697365148e-05,8.360002475922343e-10,3.0503794768327135e-05,0.0007252680817384642,0.0006602416779752679,1.3959895618090555e-05,-2.3513634615779377e-18,-2.7427930772269968e-14,-1.9467803284700705e-14,2.4687995576508826e-12,0.0,-5.522500049154715e-05,1.2106178510002792,2.5726062488126636e-12,1.1855091032143837e-10,5.994013437170435e-11,1.0503963607866584e-11,5.215473627476568e-08,0.0005990663317723744,6.100591394730296e-05,5.016001485553415e-09,1.1206995021572088e-07
first,0.0625,7,0.4375,9.232035680780955e-16,9.462286236838e-14,1.0854800118823101e-05,2.474487651110724e-10,1.0855047663134278e-05,0.0002580931210563856,0.00023493043263412563,4.965595065559224e-06,-7.792703114739563e-19,-2.5546667796332424e-14,-1.9467803284700705e-14,2.220091316984559e-12,0.0,-1.9648747105192855e-05,1.3559207362122834,1.342394156273099e-13,6.3110289549298606e-12,3.1886868261407366e-12,5.598438778290015e-13,3.153727540473434e-09,0.00021318286429635415,2.1709600237646203e-05,1.4846925906664306e-09,3.331948619506449e-08
first,0.0625,8,0.5,4.876064766994292e-17,5.044370923035998e-15,3.862885632757803e-06,8.268047865396113e-11,3.862968318329589e-06,9.184718305803792e-05,8.360223266254249e-05,1.7669398033954899e-06,-2.947674656444965e-19,-2.715487529783776e-14,-1.9467803284700705e-14,2.1595842258153763e-12,0.0,-6.99207934480469e-06,1.380351754836738,7.0926454597327014e-15,3.364213440468341e-13,1.6968741571149927e-13,2.985595063581275e-14,1.9454176470639238e-10,7.586461811815887e-05,7.725771265515607e-06,4.960828719237676e-10,1.1152111174016912e-08
first,0.03125,0,0.0,5.297793235033636e-05,9.32292233122049e-05,0.03553411365381639,0.006378326932483849,0.04205864774196278,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
